 ************************** Initing args for:  DEEP_RANGE_v0   **************************
Iters 31400 | Evals 130842 | RangeLoss 1.8494106531143188 | ActionLoss 0.009991021826863289 | TotalLoss 2.8482420444488525
Iters 31600 | Evals 131707 | RangeLoss 1.8492387533187866 | ActionLoss 0.009931533597409725 | TotalLoss 2.8421194553375244
Iters 31800 | Evals 132553 | RangeLoss 1.8491007089614868 | ActionLoss 0.009873036295175552 | TotalLoss 2.836144208908081
Iters 32000 | Evals 133376 | RangeLoss 1.8490517139434814 | ActionLoss 0.009816111996769905 | TotalLoss 2.8304035663604736
Iters 32200 | Evals 134229 | RangeLoss 1.8488802909851074 | ActionLoss 0.009760978631675243 | TotalLoss 2.8247182369232178
Iters 32400 | Evals 135033 | RangeLoss 1.848850965499878 | ActionLoss 0.009708850644528866 | TotalLoss 2.8194966316223145
Iters 32600 | Evals 135892 | RangeLoss 1.8487557172775269 | ActionLoss 0.009653632529079914 | TotalLoss 2.813894510269165
Iters 32800 | Evals 136704 | RangeLoss 1.848720908164978 | ActionLoss 0.009599439799785614 | TotalLoss 2.8084466457366943
Iters 33000 | Evals 137537 | RangeLoss 1.8485314846038818 | ActionLoss 0.00954815000295639 | TotalLoss 2.803128957748413
Iters 33200 | Evals 138368 | RangeLoss 1.8484394550323486 | ActionLoss 0.009494714438915253 | TotalLoss 2.797693967819214
Iters 33400 | Evals 139221 | RangeLoss 1.848238468170166 | ActionLoss 0.009445056319236755 | TotalLoss 2.792518377304077
Iters 33600 | Evals 140044 | RangeLoss 1.8480892181396484 | ActionLoss 0.00939506571739912 | TotalLoss 2.787376642227173
Iters 33800 | Evals 140862 | RangeLoss 1.8479398488998413 | ActionLoss 0.009344754740595818 | TotalLoss 2.7822182178497314
Iters 34000 | Evals 141689 | RangeLoss 1.8477468490600586 | ActionLoss 0.009296008385717869 | TotalLoss 2.777151584625244
Iters 34200 | Evals 142513 | RangeLoss 1.8476645946502686 | ActionLoss 0.009246635250747204 | TotalLoss 2.772144079208374
Iters 34400 | Evals 143341 | RangeLoss 1.847495198249817 | ActionLoss 0.009198423475027084 | TotalLoss 2.767151355743408
Iters 34600 | Evals 144186 | RangeLoss 1.8473436832427979 | ActionLoss 0.00914838444441557 | TotalLoss 2.7620041370391846
Iters 34800 | Evals 145011 | RangeLoss 1.8472049236297607 | ActionLoss 0.009100777097046375 | TotalLoss 2.7571120262145996
Iters 35000 | Evals 145839 | RangeLoss 1.8470432758331299 | ActionLoss 0.009053578600287437 | TotalLoss 2.7522435188293457
Iters 35200 | Evals 146694 | RangeLoss 1.8469147682189941 | ActionLoss 0.0090071652084589 | TotalLoss 2.74748158454895
Iters 35400 | Evals 147525 | RangeLoss 1.8467704057693481 | ActionLoss 0.00895944144576788 | TotalLoss 2.742575168609619
Iters 35600 | Evals 148338 | RangeLoss 1.8466919660568237 | ActionLoss 0.008914323523640633 | TotalLoss 2.737992763519287
Iters 35800 | Evals 149169 | RangeLoss 1.846553087234497 | ActionLoss 0.008869382552802563 | TotalLoss 2.7333600521087646
Iters 36000 | Evals 150001 | RangeLoss 1.846415638923645 | ActionLoss 0.008824707940220833 | TotalLoss 2.7287518978118896
Iters 36200 | Evals 150843 | RangeLoss 1.8463594913482666 | ActionLoss 0.008777560666203499 | TotalLoss 2.7239937782287598
Iters 36400 | Evals 151690 | RangeLoss 1.8461766242980957 | ActionLoss 0.008732871152460575 | TotalLoss 2.71934175491333
Iters 36600 | Evals 152529 | RangeLoss 1.8459457159042358 | ActionLoss 0.008689171634614468 | TotalLoss 2.7147412300109863
Iters 36800 | Evals 153387 | RangeLoss 1.8458598852157593 | ActionLoss 0.008646398782730103 | TotalLoss 2.7103707790374756
Iters 37000 | Evals 154220 | RangeLoss 1.845626950263977 | ActionLoss 0.008604275994002819 | TotalLoss 2.705929756164551
Iters 37200 | Evals 155077 | RangeLoss 1.8454632759094238 | ActionLoss 0.008560744114220142 | TotalLoss 2.701415777206421
Iters 37400 | Evals 155865 | RangeLoss 1.8452452421188354 | ActionLoss 0.008525367826223373 | TotalLoss 2.6976704597473145
Iters 37600 | Evals 156691 | RangeLoss 1.845098614692688 | ActionLoss 0.008485707454383373 | TotalLoss 2.693565607070923
Iters 37800 | Evals 157529 | RangeLoss 1.8449783325195312 | ActionLoss 0.008447367697954178 | TotalLoss 2.6896238327026367
Iters 38000 | Evals 158375 | RangeLoss 1.8448368310928345 | ActionLoss 0.00840543769299984 | TotalLoss 2.685288429260254
Iters 38200 | Evals 159223 | RangeLoss 1.8447034358978271 | ActionLoss 0.008364550769329071 | TotalLoss 2.6810646057128906
Iters 38400 | Evals 160077 | RangeLoss 1.8445086479187012 | ActionLoss 0.008323374204337597 | TotalLoss 2.6767566204071045
Iters 38600 | Evals 160890 | RangeLoss 1.8444055318832397 | ActionLoss 0.008284601382911205 | TotalLoss 2.672767162322998
Iters 38800 | Evals 161751 | RangeLoss 1.8442529439926147 | ActionLoss 0.008247158490121365 | TotalLoss 2.6688718795776367
Iters 39000 | Evals 162600 | RangeLoss 1.8441377878189087 | ActionLoss 0.008208045735955238 | TotalLoss 2.6648449897766113
Iters 39200 | Evals 163450 | RangeLoss 1.8439799547195435 | ActionLoss 0.008168240077793598 | TotalLoss 2.6607115268707275
Iters 39400 | Evals 164288 | RangeLoss 1.8438072204589844 | ActionLoss 0.008129525929689407 | TotalLoss 2.656679153442383
Iters 39600 | Evals 165136 | RangeLoss 1.8436903953552246 | ActionLoss 0.008091517724096775 | TotalLoss 2.6527724266052246
Iters 39800 | Evals 165970 | RangeLoss 1.8435291051864624 | ActionLoss 0.008053828030824661 | TotalLoss 2.648845911026001
Iters 40000 | Evals 166816 | RangeLoss 1.8433218002319336 | ActionLoss 0.008017449639737606 | TotalLoss 2.644996166229248
Iters 40200 | Evals 167643 | RangeLoss 1.8432228565216064 | ActionLoss 0.007980919443070889 | TotalLoss 2.6412460803985596
Iters 40400 | Evals 168473 | RangeLoss 1.8429960012435913 | ActionLoss 0.007944044657051563 | TotalLoss 2.6373326778411865
Iters 40600 | Evals 169309 | RangeLoss 1.8429105281829834 | ActionLoss 0.007907675579190254 | TotalLoss 2.633608341217041
Iters 40800 | Evals 170138 | RangeLoss 1.8426800966262817 | ActionLoss 0.007871298119425774 | TotalLoss 2.629739284515381
Iters 41000 | Evals 170980 | RangeLoss 1.842437744140625 | ActionLoss 0.007837030105292797 | TotalLoss 2.626077175140381
Iters 41200 | Evals 171819 | RangeLoss 1.8422067165374756 | ActionLoss 0.007801189552992582 | TotalLoss 2.6222610473632812
Iters 41400 | Evals 172644 | RangeLoss 1.8420695066452026 | ActionLoss 0.007766676601022482 | TotalLoss 2.61867618560791
Iters 41600 | Evals 173489 | RangeLoss 1.8419177532196045 | ActionLoss 0.0077309017069637775 | TotalLoss 2.61494779586792
Iters 41800 | Evals 174323 | RangeLoss 1.8417798280715942 | ActionLoss 0.007695889566093683 | TotalLoss 2.611315965652466
Iters 42000 | Evals 175161 | RangeLoss 1.8416510820388794 | ActionLoss 0.007661348674446344 | TotalLoss 2.607733726501465
Iters 42200 | Evals 175997 | RangeLoss 1.8414995670318604 | ActionLoss 0.007626997772604227 | TotalLoss 2.604154348373413
Iters 42400 | Evals 176839 | RangeLoss 1.8413527011871338 | ActionLoss 0.007592444308102131 | TotalLoss 2.600550413131714
